description,class_id
Optical or telescopic lens sights,009
"Vinyl covers specially adapted for cell phones, MP3 players, laptops, computers, portable satellite radios, personal digital assistants, remote controls, and television satellite recorders",009
"Ultrasound probes, not for medical use",009
"Ultrasound inspection devices for non-medical, non-destructive testing",009
Chargers for batteries,009
Industrial wireless point-to-multipoint radio,009
Electrical reactors,009
Electronic key cards,009
Computer screens,009
"Ultrasound flaw detectors, not for medical purposes",009
Wireless receivers and transmitters for portable media players,009
Wireless indoor and outdoor speakers,009
"Laboratory equipment, namely, funnels",009
Alarm monitoring systems,009
Electronic ultrasound flaw detectors,009
Optical lens sights,009
Computed radiography phosphor scanners not for medical use,009
Laboratory instrument for the detection of pathogens and toxins in a biological sample for research use,009
Microprocessor-based hardware systems used to reduce power consumption,009
Electronic lock assemblies,009
Eye glass chains,009
Binders for CDs,009
Electronic devices used to locate lost articles employing the global positioning system or cellular communication networks,009
"Encoded smart cards containing programming used for {specify the function or purpose and, if the programming is content or field specific, the field of use}",009
Headsets for cellular or mobile phones,009
Optical inspection apparatus for industrial use,009
Pre-recorded DVDs featuring {indicate subject matter},009
Wireless cellular phone headsets,009
"Electronic apparatus for testing compression, strength, hardness and tensile characteristics of industrial materials",009
Electronic apparatus for testing the curing and drying of elastomeric materials,009
"Downloadable virtual goods, namely, computer programs featuring {specify nature, type, e.g., articles of clothing} for use in online virtual worlds",009
Ballistic resistant and blast resistant body armor and clothing,009
Optical filters,009
Bullet resistant clothing,009
Bullet resistant vests,009
Time lapse image recorder,009
Time lapse digital cameras for viewing plant growth,009
"Protective ballistic resistant and blast resistant body armor, clothing and garments",009
"Protective body armor, namely, ballistic, bullet, blast, slash and stab resistant vests",009
"Protective body armor, namely, ballistic, bullet, blast, slash and stab resistant clothing",009
Tactical laser sights,009
Digital photo image converters,009
Portable televisions,009
Faulted circuit indicators,009
Neoprene laptop covers,009
"Protective clothing, namely, heated garments in the nature of apparel consisting of carbon fiber which produces heat",009
Digital film scanners,009
Holders for magnetically encoded gift cards,009
Electronic heliographic apparatus for recording the duration and intensity of sunshine,009
Navigation bridge simulators for use in maritime and seamanship training,009
Life vests,009
Decorative covers for satellite dishes,009
Eyeglass chains and cords,009
Sunglass chains and cords,009
USB cables,009
Electronic book reader,009
Digital plotters,009
Nuclear medicine imaging apparatus for research purposes,009
Radio receivers and transmitters for monitoring and controlling light emitting diodes in a network of street lights and for processing emergency signals transmitted to individual street lights,009
Satellite dish covers,009
Demagnetizers for magnetic tapes,009
Nuclear medical research imaging apparatus,009
Network servers,009
Network routers,009
Cable television transmitters,009
Electronic controllers used to reduce power consumption,009
Automatic telephone exchange apparatus,009
Lightning conductors,009
"Automotive, industrial, construction, locomotive, aviation, navigation and marine safety-warning lights, namely, strobes, rotating lights and bar lights",009
"Plastic cases specially adapted holding compact discs, DVDs and other electronic media",009
Pre-recorded digital video discs featuring {indicate subject matter},009
Polyethylene measuring cups,009
"Mechanical devices, namely, dispensers of preset portions of fluids, solid granules and powder for dosing purposes, all not for medical use",009
Weighing scales,009
Indicator lights for circuit boards,009
Electric flasher switches,009
Anti-glare filters for televisions and computer monitors,009
Coolant-temperature sensors,009
Articles of protective clothing for wear by motorcyclists for protection against accident or injury,009
"Electronic devices, namely, handhelds for exchanging data in energy meters or submeters",009
Calibration devices for calibrating optical emission spectrometers,009
"Casings and casing parts for electrical equipment, namely, housing for switching apparatus",009
Calibration devices for calibrating Industrial X-ray apparatus in the nature of testing equipment for determining industrial flaws,009
Calibrating devices for calibrating atomic absorption spectrometers,009
"Calibration devices for calibrating optical emission spectrometers, atomic absorption spectrometers and X-ray apparatus, other than for medical use",009
Calibration devices for calibrating X-ray diagnostic apparatus other than for medical use,009
"Electronic devices, namely, energy submeters for tracking and monitoring energy usage",009
Headphones including attached lanyard,009
"Electronic devices, namely, energy meters for tracking and monitoring energy usage",009
"Home theater systems comprising {indicate specific electronic components, e.g., DVD players, audio amplifiers, audio speakers}  [DO NOT include components that are in classes other than 9, e.g., lighting and seating]",009
"Digital music systems that synchronizes digital radio files stored on a home unit, a car unit, or portable unit and that may be backed up to an internet depository",009
Digital music system that synchronizes digital music files stored on a home unit and a car unit,009
Motion picture films featuring children's entertainment,009
Coordinate measuring machines,009
Flasks for laboratory use,009
Compact discs featuring music,009
Audio tapes featuring music,009
Luminous beacons for safety or warning purposes,009
Phonograph records featuring music,009
Electronic components for juke boxes,009
Electronic LCD display unit with multi-networking (TCP/IP) capabilities,009
Testing and measuring equipment for use in testing the performance and efficiency of power plant equipment,009
EPA compliant flowmeters,009
"Visual training aid, namely, non-prescription glasses used for visual training purposes",009
Trip unit for circuit breakers,009
Cruise controls for motor vehicles,009
"Measuring apparatus, namely, laser distance meters",009
"Optical discs containing software and programming, used to set-up and calibrate televisions and video output devices",009
Downloadable films and movies featuring {indicate subject matter} provided via a video-on-demand service,009
Blank recordable CD-Rs and DVD-Rs,009
Luminous safety beacons,009
Electronic day planners,009
Video cables,009
Timers for reminding persons when their disposable contact lenses need replacing,009
Covers for telephone receivers not made of paper,009
Lasers for industrial use,009
"Electrical integrated control systems for use in the field of {indicate field or equipment, e.g., waste water treatment}",009
"Occupancy sensors, namely, electronic devices which detect the presence of occupants and control the lighting system accordingly",009
"Laboratory apparatus, namely, cellular mixed ester membranes for use in the analysis of asbestos",009
"Electronic video surveillance products, namely, electronic components of security systems",009
"Scientific apparatus, namely, cellular mixed ester membranes for use in the science and research industry",009
Bass amplifiers,009
Electrical phonograph record turntable cartridges,009
Bass speakers,009
Minidisk players,009
Sound equalizers and crossovers,009
Monitor signal amplifiers,009
Decompression chambers for divers,009
Electronic power supplies for driving electric motors,009
"Electronic apparatus and instruments for controlling, adjusting and testing of drives and motors",009
Downloadable MP3 files and MP3 recordings featuring {indicate subject matter},009
"Protective covers and cases for cell phones, laptops and portable media players",009
"Laboratory equipment, namely, ductless fume enclosures and forensic drying cabinets",009
Electronic spectrophotometer for use in identifying and measuring colors,009
Tire and tire/wheel uniformity machines for the purpose of measuring and correcting the uniformity of tires and tire/wheels,009
"Metal depository containing a video camera, display screen, touch screen user interface and access card reader to record deposits",009
Metal depository housing sold empty that is specially adapted to contain photographic and computer components,009
Digital signage monitors,009
Credit card encoding machines [computer peripherals],009
Plasma televisions,009
"Vacuum tube replacement devices, namely, solid-state vacuum tube emulators",009
Fibre optic couplings,009
Liquid crystal display (LCD) televisions,009
Acidity analysers,009
Wind turbine controller,009
"Remotely-controlled sub-aquatic video camera containing a TV camera, transmitter, receiver and microphone to record, detect, measure, survey and locate objects underwater",009
Underwater cameras,009
Manometers,009
Batteries and battery chargers for intravenous fluid delivery apparatus,009
Temperature controllers for {indicate use or purpose},009
Gas appliance alarm timer for detecting and alerting the presence of gas flow after a prescribed period of time,009
"Guitar amplifier accessory, namely, a fitted face plate to affix to an amplifier for use with electric guitars",009
Level switches and level indicators for monitoring and controlling liquids in tanks and vessels,009
Electronic sound devices containing pre-recorded sounds for placement in toy vehicles,009
Tactical robots,009
"Temperature switches and sensors for monitoring, controlling, and switching hydraulic or pneumatic systems",009
"Valves for controlling and regulating the flow of gases or liquids not being parts of plumbing, heating, cooling installations or machines",009
Underwater diving and decompression computers,009
"Pressure switches and sensors for monitoring, controlling, and switching hydraulic or pneumatic systems",009
Pressure transducers and transmitters that convert hydraulic or pneumatic pressure into analog electrical signals for monitoring and controlling hydraulic or pneumatic systems,009
Flow switches for monitoring and controlling the flow of gases or liquids,009
Eyewear retainers,009
Level switches for monitoring and controlling liquids in tanks and vessels,009
Disposable bottle liners for use with laboratory apparatus,009
Electronic controller for operating electronically alterable window tinting,009
"Microsensors for measurement of pressure, acceleration, force and flow, namely, silicon piezoresistive pressure sensors",009
Cruise controls for motorcycles,009
Electronic LED signs,009
Pre-recorded CDs featuring {indicate subject matter},009
"Interoperable communication system designed to provide radio, streaming video, wireless internet, and VOIP phone",009
Driver impairment detection device in the nature of a fingerprint recognition scanner that activates a timing mechanism to determine the driver's fitness to drive the vehicle,009
Electric and magnetic contacts,009
"Electronic publications, namely, e-zines featuring {indicate subject matter} recorded on computer media",009
"Integrated circuits, integrated circuit chips, and integrated circuit modules for digital video compression and decompression",009
Electric conductor rails,009
Electronic monitors and monitor modules for monitoring electric current and electrical signals,009
"Laboratory apparatus and instruments, namely, bottle top filters used for the purification of tissue culture media",009
Electronic device to charge and secure tablet PCs,009
Digital media hubs,009
Digital media receivers,009
Digital media servers,009
Industrial X-ray apparatus in the nature of testing equipment for determining industrial flaws,009
"Humidity sensor with integrated digital and analog output circuitry used in automotive, appliance and light industrial applications to sense both relative humidity and temperature environmental conditions",009
Electronic interface equipment for machine tools to input or output CNC (computer numerical control) data,009
Digital music downloadable from the Internet,009
Electronic storage device in the nature of memory media for storing information collected from medical ventilators,009
"X-ray tubes, other than for medical purposes",009
High performance computer hardware with specialized features for enhanced game playing ability,009
"Flow cytometers and flow-based analyzers providing cell and particle analysis, detection, or counting for scientific, laboratory, and general research uses",009
Microphone modules,009
Transparent electronic displays fixed at head-level or head-down positions for use in military and commercial aircraft for providing aircraft crew members with navigational and operational information,009
Microchannel wafers,009
Microcircuits,009
Swim floats for safety purposes,009
"Optical inspection apparatus for inspection of semiconductor materials, namely, semiconductor wafers, reticles, and photomasks",009
"Electronic imaging platforms in the field of inspection of semiconductor materials, namely semiconductor wafers and reticles",009
Electron multipliers,009
"Scientific instruments, namely, electronic analyzers for measuring, testing and detecting contaminants and environmental pollutants",009
Silicon solar cell material for electricity generation incorporated into pavement materials,009
Bags specially adapted for protective helmets,009
"Scientific instruments, namely, electronic analyzers for testing consumer products for the presence of contaminants",009
"Computer hardware, namely, wireless network extenders",009
"Computer hardware, namely, wireless network repeaters",009
LCD picture frames with plush decorative outer surface,009
Television screen protectors in the nature of acrylic shields to be mounted over television screens,009
Pressure transmitters,009
Lighting panel control boards,009
Temperature transmitters,009
Computer interface boards,009
Motion picture films about {indicate subject matter},009
Temperature switches,009
Temperature meters not for medical use,009
"Security products, namely, entry door systems comprising touch pads and security doors",009
"Educational apparatus, namely, a transparent tank used as a teaching aid for the chemical process of making alternative fuels",009
"Broadband wireless equipment, namely, telecommunications base station equipment for cellular and fixed networking and communications applications",009
Automated laboratory equipment mainly for cutting specimens,009
Electronically-operated door latches,009
Battery power supplies for medical ventilators,009
"Safety equipment, namely, explosive containment vessel",009
"Safety devices, namely, crane load sensors for use in preventing overloading or turning over of construction cranes",009
Automated immunodetection system comprised of a vacuum manifold and one or more membrane holders for laboratory use,009
Industrial calibration sensors,009
Television cameras,009
Radio controlled miniature aerial targets,009
Cover for an electric door bell that attaches to the doorbell to block its use,009
"Portable and handheld digital electronic devices for recording, organizing, transmitting, manipulating, and reviewing text, data, image, and audio files",009
Electric switch housings,009
Housings for printed circuit boards,009
Electrical connector housings,009
Circuit breaker panel boards,009
Wireless transceiver radio,009
Electric junction box housings,009
"Vehicle safety equipment, namely, electronic vibration, shock, motion, angle, temperature and voltage monitors",009
"Vehicle safety equipment, namely, an on-board vehicular surveillance system comprised of cameras and monitors for exposing and eliminating the blind spots on both sides of the vehicle",009
Electronic transit information signs,009
Very large scale integration (VLSI) semiconductor integrated circuits,009
"Interactive photo kiosks for capturing, printing and uploading digital images for future use",009
Eyewear cases,009
Digital media streaming devices,009
Downloadable graphics for mobile phones,009
Downloadable ring tones for mobile phones,009
Specially adapted computer input device cover featuring a disinfecting capability,009
Electronic proximity sensors and switches,009
High Z material detection system comprising a set of muon detectors and digital signal processing unit,009
Conical attachment to an audio speaker for diffusing and distributing sound as it is transmitted from the speaker,009
Bubble levels,009
"Contingency response communication system designed to provide radio interoperability, streaming video, wireless internet, and VOIP phone",009
"Stand-off explosives and chemical detection system comprising strobe and probe lasers, optical detectors and digital signal process units",009
"Telephone call router, for home and office touchtone phones, for international and long distance calls made from various telephony platforms including VoIP platform without the requirement for internet",009
Telephone call routers,009
Telephone call routers for long distance calls made through PSTN and VoIP platforms from any touchtone phone without a requirement for internet access,009
"Apparatus for converting electronic radiation to electrical energy, namely, PVT (photovoltaic thermal) module",009
Directional compasses,009
"Apparatus for converting electronic radiation to electrical energy, namely, photovoltaic thermal module",009
"Theft alarms [exception: anti-theft alarms for vehicles, IC 012]",009
"Apparatus for converting electronic radiation to electrical energy, namely, photovoltaic thermal hybrid module",009
Wireless transceivers with collection and display technology for the status and tracking of all vehicle types in local environments,009
Wireless transceivers with collection and display technology for the status and tracking of retail goods from the backdoor to the shelf,009
Electric warning lights,009
Electric warning light systems,009
"Integrated circuits, integrated circuit chips, and integrated circuit modules for encoding and decoding digital video",009
Electrophoretic displays,009
Television sets,009
Disposable plastic bioreactors for cell culturing,009
Computer network bridges,009
Static electricity eliminators,009
Body armor,009
Wireless narrowband radios,009
Crash test dummies,009
Laboratory apparatus and chromatography systems for use in protein purification,009
Laboratory apparatus and computer systems for use in protein purification,009
Electrical eddy current test equipment,009
Television antennas,009
"Public address (PA) and sound system accessories, namely, microphone stands, speaker stands, microphone cables, speaker cables, speaker boxes and sound mixers",009
Electrical cables for musical instruments,009
"Scientific apparatus, namely, spectrometers and parts and fittings therefor",009
Motion picture cameras,009
Boiler control instruments,009
Cases for contact lenses,009
Carrying cases and containers for contact lenses,009
Batteries for lighting,009
Calculating machines,009
Telephone answering machines,009
"Cables, electric",009
Breathing apparatus for underwater swimming,009
Fire-extinguishers,009
Fibre-optic cables,009
Connections for electric lines,009
"Computer operating programs, recorded",009
"Panel meters, namely, an electronic instrument that displays an input signal in either a digital or analog form",009
Computer hardware for high-speed processing and storage of data using multiple CPU's,009
Distance measuring apparatus,009
Electronic circuits,009
Electronic calculators,009
Electromagnetic coils,009
Eye glass cords,009
Eye glass cases,009
Encoding and decoding apparatus and instruments,009
Encoding and decoding apparatus,009
Electronic tags for goods,009
Electronic pocket translators,009
Electronic personal organisers,009
Electronic pens,009
Electronic navigational and positioning apparatus and instruments,009
Electrical apparatus for testing the state of operability of electronic sirens and public address systems,009
Blank optical disks,009
Downloadable photographs and diagrams of properties and buildings,009
Downloadable reports about properties and buildings,009
Programmable logic controller (PLC),009
Camera handles,009
Microwave ovens for laboratory use,009
Camcorder handles,009
"Laboratory instruments, namely, radiation devices in the nature of ultraviolet, visible, or infra-red light boxes for the analysis of bodily fluids",009
Electronically encoded badges and swipe cards for use with time clocks,009
Electronic equipment for inspection and detection of foreign material within containers,009
High-pressure pumps for proportioning and testing purposes,009
LED and HID light controls,009
Remote fuel oil level sensing system,009
Electronic control circuits for use in demagnetizing magnetic chucks,009
Charge-coupled devices (CCD),009
Laboratory apparatus and instruments for the exchange of substances and heat,009
Matrix switchers for audio and video signals,009
Electronic interconnecters for audio and video signals,009
Coin-operated mechanisms for television sets,009
"Electronic signaling mechanism, namely, a train control system used in the railway industry for detecting and controlling trains, ground faults, broken rails, power failures, track switches and lights",009
"Leak detecting device for water supplied home appliances consisting of water sensor, control unit with audible alarm and water valves",009
Signal splitters for electronic apparatus,009
"Electronic imaging apparatus in the field of iridology, sclerology, rayid and eyology not for medical use",009
"Computer hardware, namely, firewalls",009
"Computer hardware, namely, wireless access point (WAP) devices",009
Motorcycle charger fault detector,009
Stereo receivers,009
Internet servers,009
Stereo amplifiers,009
Micrometer gauges,009
Memories for data processing equipment,009
Measuring glassware,009
Loud speakers,009
Lithium phosphate batteries,009
Lithium iron phosphate batteries,009
Lenses for astrophotography,009
Photocopying apparatus,009
"Optical fibres, telephone receivers, switchboards, telephone and telegraph wires, video telephones",009
Sun glasses,009
Steelyards,009
Stands for photographic apparatus,009
Xerographic apparatus and instruments,009
Transmitters and receivers for audio and video signals for transmission over twisted pair cables,009
Electronic advertisement boards featuring a neon lamp,009
Safety markers,009
Hard drives for computers featuring {indicate subject matter},009
"Measuring devices, namely, fluorometers",009
Blank recordable DVDs,009
RFID readers,009
Radio frequency identification tag readers,009
Media players,009
Power supply connectors and adaptors for use with portable electronic devices,009
Electric meters,009
"Medical imaging apparatus for small animals, in a research laboratory environment",009
Telephone call screening and blocking device consisting of a microprocessor that uses the telephone cord between the telephone and wall jack for the purpose of blocking unwanted calls,009
Spectrograph apparatus,009
Plotters [or X-Y plotters],009
Minicomputers,009
Spectacle lenses,009
Sound transmitting apparatus,009
Track balls,009
Switchboards,009
Time recording apparatus,009
Thin film switches,009
Computer game cartridges and discs,009
Blank digital storage media,009
"Impact simulation test equipment in the nature of crash test dummies, crash barriers and crash tracks",009
"Electronic sound mixing, processing and synthesizing apparatus",009
"Flashing safety light in the form of a pendant for providing visibility for people, inanimate articles, or animals",009
Electrical components in the nature of protection relays,009
Electrical components in the nature of electric contactors,009
Drying apparatus for photographic prints,009
"Safety equipment, namely, fire escape ladders",009
"Keyless entry system and keyless ignition switch system for automotive vehicles comprised of a microprocessor, electronic signal receiver, and keyfob with electronic signal transponder",009
Gasifiers for laboratory use,009
In-ear monitors not for medical purposes,009
Audio cassette players,009
"Safety equipment, namely, beacon lights",009
"Downloadable {indicate matter to be downloaded, e.g., ring tones, music, electronic games} via the internet and wireless devices",009
Digital camera accessory in the nature of a digital photo viewer,009
"Electrical distribution systems, namely, power distribution panels",009
"Radio frequency identification (RFID) credentials, namely, cards and tags, and readers for radio frequency identification credentials",009
"Electronic-based instruments for measuring environmental parameters including humidity, mold, bacteria, air quality and water quality",009
Electrical outlets,009
"Downloadable multimedia file containing artwork, text, audio, video, games, and Internet Web links relating to {indicate field of subject matter of file}",009
Downloadable scientific and medical data via the internet,009
"Measuring apparatus, namely, rain gauges",009
Electronic advertisement and messaging display unit with multi-networking (TCP/IP) capabilities and remote connectivity,009
Loudspeaker systems,009
Children's educational music CDs and DVDs,009
Calculating scales,009
Renewable battery system to provide backup power,009
Radio frequency identification (RFID) tags,009
Palm pilots,009
Heat sinks for use in electronic components,009
Eye covers for protective purposes,009
Video game cartridges and discs,009
Blank optical data carriers,009
Electromagnetic apparatus used to generate or measure magnetic fields,009
Timer that may be attached to a prescription vial cap for reminding persons to take medicine,009
"Scientific apparatus and instruments, namely, chromatography columns for use in purification in the laboratory and parts and fittings therefor",009
Phonographs,009
Integrated circuits for use in the manufacture of infrared detectors,009
Electrical outlet tester,009
Computer servers,009
DVD cases,009
Optical character readers,009
Hand-held security device that disables assailants using flashing light emitting diodes,009
Buoyancy compensator jacket for use in scuba diving,009
Video displays mounted in eyeglasses,009
Electronic recorders for storing and archiving information related to power system faults,009
Seismological instruments,009
Wireless POS (point of service) devices,009
Diving helmets,009
"Chip carriers, namely, semiconductor chip housings",009
Portable telecommunication instant messaging devices,009
Fitted radio covers used to protect automobile radios,009
"Electronic animal confinement unit comprising transmitters, electrical transformers, wires, and receiver collars",009
Lumber grading machines,009
"Downloadable electronic data files and databases, namely, business and tax forms, for use with computer software",009
"Design libraries, namely, downloadable electronic data files for use in integrated circuit and semiconductor design",009
Phonograph record players,009
Hand-held microphone sleeves,009
Strobe light apparatus for use in professional quality photography,009
Silicon chips,009
"Light directors and photographic lighting tents, all for use with photographic lighting equipment for professional and high-end photography",009
Plastic rotating attachment affixed to a telephone or other electronic cord to prevent tangling,009
Glare suppressant face panels designed for placement in front of display devices,009
Visual recordings and audiovisual recordings featuring music and animation,009
Timers,009
Protective face-shields for protective helmets,009
Movable sockets,009
Speaker enclosures,009
Magnetic wall stud finders,009
Desktop computers,009
Protective industrial shoes,009
Protective industrial boots,009
Electrical conductors,009
"Telephone equipment, namely, caller identification boxes",009
Fire blankets,009
Laser pointers,009
Electronic notice boards,009
Abacuses,009
Multimedia software recorded on CD-ROM featuring {indicate subject matter or area of use},009
Radar object detectors for use on vehicles,009
Ultrasonic object detectors for use on vehicles,009
Laser object detectors for use on vehicles,009
Personal data assistants,009
Hard hats,009
Video display cards,009
Video capture cards,009
Sonar,009
Carrying cases specially adapted for pocket calculators and cellphones,009
Remote controls for gas stoves and fireplaces,009
Fire boats,009
Computer hard drive enclosures,009
Cell phone having large keys and numbers that assist users having impaired vision or dexterity,009
Signal processors,009
Conductive silicone packing for electro-magnetic interference,009
Contrast enhancement filters for electronic display readout windows,009
"Electrical cables with integrated fittings, namely, cordsets",009
Plastic guard for covering wall switches,009
Electrical cables and cordsets,009
Downloadable webcasts in the field of {indicate field or subject matter},009
Blank magnetic disks,009
Wheeled messenger bags especially adapted for holding laptops,009
Protective sleeves for laptop computers,009
"Protective clothing, namely, disposable garment for protection against spontaneous flash in industrial and manufacturing environments",009
Wheeled backpacks especially adapted for holding laptops,009
Downloadable podcasts in the field of {indicate field or subject matter},009
Messenger bags especially adapted for holding laptops,009
Backpacks especially adapted for holding laptops,009
Cellular telephones,009
Blank video cassettes,009
Camera tripods,009
Electric light dimmers,009
Contact lens cases,009
Wireless visitor signal chimes,009
"Mobile computing and operating platforms consisting of data transceivers, wireless networks and gateways for collection and management of data",009
Open-wire transmission machines and apparatus,009
"Plates, glass slides or chips having multi-well arrays that can be used in chemical analysis, biological analysis or patterning for scientific, laboratory or medical research use",009
Hand-held device comprised of chemical and heat sensors for the detection of explosives,009
"Fall protection products, namely, beam grips",009
Electrical pickups for use with musical instruments,009
Electronic LCD advertisement display unit with multi-networking (TCP/IP) capabilities,009
"Electronic equipment, namely, electrolysis cell for use in the manufacture of various ionic solutions",009
Cytometers,009
"Prosthetic limbs, namely, {indicate type, e.g., arms, feet, legs}",010
Post-surgical bras for medical purposes,010
Protective helmets,009
Photovoltaic cells,009
Power cables,009
Opera glasses,009
Spectacle frames,009
Spectacle cases,009
Racks for batteries,009
Magnetic shark repelling device comprised primarily of magnets,009
"Lead-acid battery testing, desulfating and regenerating devices",009
"Computer-controlled apparatus for testing and measuring {specify, e.g., radio frequency signals, concentrations of gas and liquids, audio signals} [not for medical purposes]",009
Ductility testers,009
Flip covers for smart phones,009
Torsion testers,009
Reflectors for photographing,009
Textile testers,009
Wide area network (WAN) routers,009
Digital signage,009
Wheeled carts specially adapted for AV equipment,009
"Scientific instruments, namely, electronic analyzers for testing and analyzing chemical and biological substances for the presence, absence, or quantity of {specify, e.g., target chemicals, biologics, contaminants, etc.}",009
AV equipment storage racks,009
Semiconductor testing apparatus,009
Metal detectors,009
Measuring spoons,009
Measuring cups,009
Printed circuit boards,009
Support belts for workers,009
Blank computer discs,009
Beakers [laboratory glassware],009
Wireless digital electronic apparatus to secure and protect data and images on all forms of wireless equipment including mobile telecommunications equipment using an automatic synchronization process and alarm notification of the loss or theft of the wireless equipment including mobile telecommunications equipment,009
"Safety equipment, namely, a lifeline system for horizontal or vertical movement to which a worker is attached for protection against fall hazards, composed of {list specific components, e.g., line tension indicator, turnbuckle,  bars, anchors, harnesses, lanyards, cables, anchorage connectors, carabiners, lifelines, stanchions, shock absorber, etc.}",009
Cleaning discs for cleaning the lens of optical disc drives used in computers and digital video recorders,009
Photovoltaic systems that convert sunlight into electric and thermal energy,009
"Experimental devices in the field of fusion technologies, namely, poloidal diverters",009
"Experimental devices in the field of fusion technologies, namely, superconducting toroidals",009
"Experimental devices in the field of fusion technologies, namely, superconducting poloidals",009
"Experimental devices in the field of fusion technologies, namely, cryostats",009
Electric locks for vehicles,009
Mounts and mounting brackets adapted for audio speakers with swiveling bases therefor,009
Plastic covered electric wires,009
Cases adapted for photographic equipment,009
Cases adapted for mobile phones,009
Cases adapted for computers,009
Cases adapted for cameras,009
Alarm sensors,009
Aerial amplifiers,009
Angle dividing protractors,009
Analogue to digital converters,009
Digital to analogue converters,009
Digital sound processors,009
"Wireless controllers to remotely monitor and control the function and status of other electrical, electronic, and mechanical devices or systems, namely, {indicate type of devices or systems, e.g., remote metering systems, gas and liquid cylinders, vehicle tracking devices, energy and utility systems, security systems, lighting systems, etc.} [excluding gaming apparatus]",009
Power line conditioners,009
USB web keys for automatically launching pre-programmed website URLs,009
Network cards,009
"Viewing devices, namely, digital photograph viewers, 3D digital photograph viewers, underwater digital photograph viewers, underwater 3D digital photographs viewers, underwater LCD displays, underwater enclosures for LCD displays and underwater enclosures for video players",009
"Electrical voice intracommunications systems comprising control stations, interface modules, frames, controller cards, connectors, power supplies, panels and mountings for use in the production of live musical performances, theatre, and other live events",009
"Head-up displays for use in military and commercial aircraft, namely, fixed and helmet mounted transparent electronic displays for providing aircraft crew members with navigational and operational information",009
Underwater enclosures for photographic flash units,009
Underwater photographic flash units,009
Mobile or portable fax machines,009
"Nautical and photographic apparatus and instruments, namely, underwater housings for cameras, underwater enclosures for cameras and underwater enclosures for photographic lenses",009
"Optical apparatus and instruments, namely, optical ports for underwater photography, dome ports for underwater photography, wet diopters, adapter lenses for underwater photography",009
"Photographic finders, namely, straight viewfinders and angled viewfinders",009
Spark plug feeler gauges,009
Fish-eye conversion lenses for cameras,009
Wide-angle lenses for cameras,009
Conversion lenses for cameras,009
Lenses for cameras,009
Metal tower cart with wheels specially adapted for computers,009
Electrical arc detection and suppressing device used in low voltage switchgear,009
Electronic automatic coin dispensers,009
Electronic writing tablets,009
Fuel gauges,009
Glasses for sports,009
"Scientific apparatus and instruments, namely, ultra-high vacuum chambers",009
Electronic plotters,009
Music headphones,009
Gas mixers for laboratory use,009
Photocells,009
Light-dependent resistors,009
Lithium ion batteries,009
Photoresistors,009
